EmployeeID,RateChangeDate,Rate,PayFrequency
138,1999-03-02T00:00:00,15.0,1
139,1999-03-03T00:00:00,34.7356,2
140,1999-03-04T00:00:00,39.06,2
140,2001-12-15T00:00:00,48.5577,2
140,2002-03-01T00:00:00,60.0962,2
141,1999-03-04T00:00:00,11.0,1
142,1999-03-04T00:00:00,9.5,1
143,1999-03-05T00:00:00,25.0,2
144,1999-03-06T00:00:00,10.0,1
145,1999-03-06T00:00:00,10.5769,2
146,2003-08-15T00:00:00,9.5,1
146,1999-03-06T00:00:00,6.5,1
146,2002-01-01T00:00:00,7.25,1
147,1999-03-07T00:00:00,14.0,1
148,1999-03-07T00:00:00,84.1346,2
149,1999-03-07T00:00:00,27.4038,2
150,1999-03-08T00:00:00,39.6635,2
151,1999-03-08T00:00:00,14.0,1
152,1999-03-09T00:00:00,15.0,1
153,1999-03-09T00:00:00,11.0,1
154,1999-03-10T00:00:00,13.9423,2
155,1999-03-12T00:00:00,10.0,1
156,1999-03-12T00:00:00,12.45,1
157,1999-03-12T00:00:00,12.45,1
158,1999-03-12T00:00:00,50.4808,2
159,1999-03-12T00:00:00,25.0,2
160,1999-03-13T00:00:00,14.0,1
161,1999-03-13T00:00:00,10.25,2
162,1999-03-14T00:00:00,12.45,1
163,1999-03-14T00:00:00,11.0,1
164,1999-03-14T00:00:00,18.2692,2
165,1999-03-15T00:00:00,11.0,1
166,1999-03-15T00:00:00,19.0,2
167,1999-03-16T00:00:00,9.5,1
168,1999-03-17T00:00:00,15.0,1
169,1999-03-17T00:00:00,11.0,1
170,1999-03-17T00:00:00,16.0,2
171,1999-03-18T00:00:00,6.5,1
171,2003-08-15T00:00:00,9.5,1
171,2002-01-01T00:00:00,7.25,1
172,1999-03-19T00:00:00,15.0,1
173,1999-03-19T00:00:00,25.0,2
174,1999-03-19T00:00:00,12.45,1
175,1999-03-20T00:00:00,12.45,1
176,1999-03-20T00:00:00,27.4038,2
177,1999-03-20T00:00:00,14.0,1
178,1999-03-22T00:00:00,26.4423,2
179,1999-03-22T00:00:00,11.0,1
180,1999-03-23T00:00:00,9.5,1
181,1999-03-24T00:00:00,10.0,1
182,1999-03-24T00:00:00,25.0,2
183,2003-08-15T00:00:00,9.5,1
183,2002-01-01T00:00:00,7.25,1
183,1999-03-25T00:00:00,6.5,1
184,1999-03-25T00:00:00,25.0,2
185,1999-03-26T00:00:00,25.0,2
186,1999-03-26T00:00:00,15.0,1
187,1999-03-27T00:00:00,11.0,1
188,1999-03-27T00:00:00,32.4519,2
189,1999-03-27T00:00:00,14.0,1
190,1999-03-28T00:00:00,15.0,1
191,1999-03-29T00:00:00,13.9423,2
192,1999-03-29T00:00:00,11.0,1
193,1999-03-30T00:00:00,10.0,1
194,1999-03-30T00:00:00,12.45,1
195,1999-03-30T00:00:00,9.0,1
196,1999-03-30T00:00:00,9.5,1
197,1999-03-30T00:00:00,25.0,2
198,1999-04-01T00:00:00,18.2692,2
199,1999-04-01T00:00:00,14.0,1
200,1999-04-01T00:00:00,28.8462,2
201,1999-04-02T00:00:00,19.0,2
202,1999-04-03T00:00:00,11.0,1
203,1999-04-03T00:00:00,14.4231,2
204,2003-08-15T00:00:00,9.5,1
204,1999-04-04T00:00:00,6.5,1
204,2002-01-01T00:00:00,7.0,1
205,1999-04-04T00:00:00,9.5,1
206,1999-04-04T00:00:00,16.0,2
207,1999-04-05T00:00:00,11.0,1
208,1999-04-06T00:00:00,12.45,1
209,1999-04-06T00:00:00,9.5,1
210,1999-04-06T00:00:00,25.0,2
211,1999-04-07T00:00:00,10.0,1
212,1999-04-07T00:00:00,16.8269,2
213,1999-04-08T00:00:00,12.45,1
214,1999-04-08T00:00:00,14.0,1
215,1999-04-09T00:00:00,15.0,1
216,1999-04-09T00:00:00,26.4423,2
217,1999-06-04T00:00:00,42.4808,2
218,2000-01-03T00:00:00,24.0385,2
219,2000-01-04T00:00:00,12.45,1
220,2000-01-07T00:00:00,13.45,1
221,2000-01-12T00:00:00,14.0,1
222,2000-01-12T00:00:00,15.0,1
223,2000-01-18T00:00:00,18.2692,2
224,2000-01-19T00:00:00,13.45,1
225,2000-01-22T00:00:00,9.75,2
226,2000-01-23T00:00:00,12.45,1
227,2000-01-26T00:00:00,13.45,1
228,2000-01-26T00:00:00,13.45,1
229,2000-01-30T00:00:00,15.0,1
230,2000-02-02T00:00:00,13.45,1
231,2000-02-05T00:00:00,18.2692,2
232,2000-02-07T00:00:00,14.0,1
233,2000-02-12T00:00:00,18.2692,2
234,2000-02-13T00:00:00,13.45,1
235,2000-02-17T00:00:00,12.45,1
236,2000-02-18T00:00:00,15.0,1
237,2000-02-23T00:00:00,14.0,1
238,2000-02-24T00:00:00,18.2692,2
239,2000-02-25T00:00:00,14.0,1
240,2000-02-25T00:00:00,15.0,1
241,2000-02-28T00:00:00,18.2692,2
242,2000-02-28T00:00:00,9.25,1
243,2000-03-01T00:00:00,12.45,1
244,2000-03-03T00:00:00,18.2692,2
245,2000-03-04T00:00:00,13.45,1
246,2000-03-08T00:00:00,15.0,1
247,2000-03-08T00:00:00,12.45,1
248,2000-03-11T00:00:00,13.45,1
249,2000-03-15T00:00:00,15.0,1
250,2000-03-16T00:00:00,14.0,1
251,2000-03-19T00:00:00,9.25,1
252,2000-03-23T00:00:00,13.45,1
253,2000-03-26T00:00:00,10.5769,2
254,2000-03-26T00:00:00,12.45,1
255,2000-03-26T00:00:00,12.45,1
256,2000-03-30T00:00:00,13.45,1
257,2000-04-03T00:00:00,15.0,1
258,2000-04-04T00:00:00,14.0,1
259,2000-04-05T00:00:00,9.25,1
260,2000-04-07T00:00:00,9.25,1
261,2000-04-09T00:00:00,18.2692,2
262,2000-04-10T00:00:00,13.45,1
263,2001-01-05T00:00:00,28.8462,2
264,2001-01-06T00:00:00,12.75,2
265,2001-01-23T00:00:00,25.0,2
266,2001-01-25T00:00:00,12.75,2
267,2001-01-30T00:00:00,36.0577,2
268,2001-02-04T00:00:00,48.101,2
269,2001-02-07T00:00:00,13.4615,2
270,2001-02-18T00:00:00,32.6923,2
271,2001-03-10T00:00:00,14.4231,2
272,2001-03-17T00:00:00,13.4615,2
273,2001-03-18T00:00:00,72.1154,2
274,2001-08-30T00:00:00,22.5,2
274,2002-08-15T00:00:00,30.0,2
274,2001-03-24T00:00:00,9.86,2
275,2001-07-01T00:00:00,23.0769,2
276,2001-07-01T00:00:00,23.0769,2
277,2001-07-01T00:00:00,23.0769,2
278,2001-07-01T00:00:00,23.0769,2
279,2001-07-01T00:00:00,23.0769,2
280,2001-07-01T00:00:00,23.0769,2
281,2001-07-01T00:00:00,23.0769,2
282,2001-07-01T00:00:00,23.0769,2
283,2001-07-01T00:00:00,23.0769,2
284,2002-05-18T00:00:00,48.101,2
285,2002-07-01T00:00:00,23.0769,2
286,2002-07-01T00:00:00,23.0769,2
287,2002-11-01T00:00:00,23.0769,2
288,2003-04-15T00:00:00,48.101,2
289,2003-07-01T00:00:00,23.0769,2
290,2003-07-01T00:00:00,23.0769,2
